Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr arêtes,Nbr vertices ,Average weights,Variances of weights ,SD of weights, Nbr Edgess,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,672,1362,2034,42.981,7623.000,263,36,7.73,16.77,4.09,263,0,0,0,0,{0 12 14 18 19 29 30 31 32 33 34 35 }	{1 2 5 6 7 8 10 11 15 17 22 23 }	{3 27 }	{4 16 24 26 }	{9 }	{13 20 }	{21 }	{25 }	{28 }	
2,724,1310,2034,42.599,7732.000,263,36,7.73,16.77,4.09,263,0,0,0,0,{0 2 5 7 8 11 14 21 23 26 28 35 }	{1 19 25 31 }	{3 10 12 15 17 18 20 22 27 29 32 34 }	{4 }	{6 13 }	{9 }	{16 }	{24 }	{30 }	{33 }	
3,732,1302,2034,43.170,6401.000,263,36,7.73,16.77,4.09,263,0,0,0,0,{0 7 12 14 18 19 24 25 26 28 30 35 }	{1 5 }	{2 3 8 9 10 15 17 20 21 22 23 27 }	{4 }	{6 }	{11 }	{13 16 32 33 34 }	{29 }	{31 }	
4,632,1402,2034,41.893,6915.000,263,36,7.73,16.77,4.09,263,0,0,0,0,{0 1 2 6 7 9 12 17 18 19 23 31 }	{3 }	{4 }	{5 10 14 15 16 20 22 25 26 28 30 35 }	{8 27 29 32 33 34 }	{11 }	{13 }	{21 }	{24 }	
5,704,1330,2034,42.188,7510.000,263,36,7.73,16.77,4.09,263,0,0,0,0,{0 3 5 7 10 11 15 17 21 23 27 35 }	{1 6 8 13 18 19 20 22 25 29 32 34 }	{2 12 26 }	{4 }	{9 }	{14 }	{16 }	{24 }	{28 }	{30 }	{31 }	{33 }	
6,713,1321,2034,41.044,6440.000,263,36,7.73,16.77,4.09,263,0,0,0,0,{0 4 5 10 11 14 15 16 17 20 23 35 }	{1 7 8 13 19 22 25 26 28 29 31 34 }	{2 }	{3 21 }	{6 }	{9 }	{12 }	{18 30 33 }	{24 }	{27 }	{32 }	
7,636,1398,2034,41.850,7674.000,263,36,7.73,16.77,4.09,263,0,0,0,0,{0 1 2 4 6 7 12 }	{3 11 18 19 21 22 23 25 26 31 33 }	{5 8 10 13 15 20 27 28 29 32 34 35 }	{9 }	{14 24 }	{16 }	{17 }	{30 }	
8,698,1336,2034,41.237,7273.000,263,36,7.73,16.77,4.09,263,0,0,0,0,{0 4 12 13 14 18 21 24 25 26 28 30 }	{1 }	{2 }	{3 5 8 10 11 15 17 20 22 27 29 35 }	{6 }	{7 19 }	{9 }	{16 }	{23 }	{31 }	{32 }	{33 }	{34 }	
9,682,1352,2034,41.367,6612.000,263,36,7.73,16.77,4.09,263,0,0,0,0,{0 4 12 14 16 21 26 28 30 32 33 35 }	{1 5 10 13 15 19 20 22 23 27 29 34 }	{2 7 }	{3 9 24 }	{6 11 }	{8 }	{17 }	{18 }	{25 }	{31 }	
10,690,1344,2034,43.034,7015.000,263,36,7.73,16.77,4.09,263,0,0,0,0,{0 3 4 10 14 15 16 17 18 21 32 34 }	{1 2 7 8 11 19 25 26 28 29 31 35 }	{5 }	{6 12 13 20 24 27 }	{9 }	{22 }	{23 }	{30 }	{33 }	
