Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr arêtes,Nbr vertices ,Average weights,Variances of weights ,SD of weights, Nbr Edgess,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,200,142,342,42.297,5465.000,59,30,5.80,24.37,4.94,59,0,0,0,0,{0 3 7 15 16 18 }	{1 11 13 17 20 }	{2 4 10 21 22 25 }	{5 26 27 }	{6 8 28 }	{9 12 14 23 24 29 }	{19 }	
2,225,117,342,40.229,4614.000,59,30,5.80,24.37,4.94,59,0,0,0,0,{0 7 12 16 17 22 }	{1 13 18 19 20 }	{2 9 11 14 23 24 }	{3 4 10 15 25 27 }	{5 }	{6 21 }	{8 26 28 }	{29 }	
3,213,129,342,42.375,4388.000,59,30,5.80,24.37,4.94,59,0,0,0,0,{0 3 15 16 17 18 }	{1 }	{2 11 13 20 23 }	{4 10 14 24 25 27 }	{5 }	{6 8 21 28 }	{7 22 }	{9 12 29 }	{19 }	{26 }	
4,215,127,342,41.332,5900.000,59,30,5.80,24.37,4.94,59,0,0,0,0,{0 16 17 }	{1 8 13 19 20 28 }	{2 7 22 }	{3 4 15 18 }	{5 10 12 25 26 27 }	{6 21 }	{9 11 14 23 24 29 }	
5,225,117,342,48.322,5746.000,59,30,5.80,24.37,4.94,59,0,0,0,0,{0 3 15 16 17 18 }	{1 11 13 14 20 23 }	{2 7 22 }	{4 9 10 24 25 27 }	{5 26 }	{6 8 12 21 28 29 }	{19 }	
6,220,122,342,40.744,5383.000,59,30,5.80,24.37,4.94,59,0,0,0,0,{0 3 15 17 18 }	{1 13 19 20 }	{2 6 21 }	{4 10 12 25 26 27 }	{5 }	{7 16 22 }	{8 28 }	{9 11 14 23 24 29 }	
7,216,126,342,42.537,5508.000,59,30,5.80,24.37,4.94,59,0,0,0,0,{0 3 15 16 17 18 }	{1 13 20 }	{2 11 14 23 24 26 }	{4 10 25 27 }	{5 }	{6 8 9 21 28 29 }	{7 22 }	{12 }	{19 }	
8,215,127,342,41.852,4356.000,59,30,5.80,24.37,4.94,59,0,0,0,0,{0 3 15 16 17 18 }	{1 8 13 19 20 28 }	{2 }	{4 10 25 27 }	{5 }	{6 21 }	{7 22 }	{9 11 14 23 24 29 }	{12 }	{26 }	
9,210,132,342,42.565,6389.000,59,30,5.80,24.37,4.94,59,0,0,0,0,{0 7 8 16 17 22 }	{1 13 18 19 20 }	{2 11 14 23 26 }	{3 4 10 15 25 27 }	{5 }	{6 9 12 21 28 29 }	{24 }	
10,216,126,342,43.499,4214.000,59,30,5.80,24.37,4.94,59,0,0,0,0,{0 3 4 15 16 17 }	{1 11 13 19 20 23 }	{2 }	{5 10 18 25 26 27 }	{6 8 21 28 }	{7 22 }	{9 14 24 29 }	{12 }	
