Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr arêtes,Nbr vertices ,Average weights,Variances of weights ,SD of weights, Nbr Edgess,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,930,2281,3211,42.554,4773.000,439,49,7.31,16.47,4.06,439,0,0,0,0,{0 16 28 }	{1 2 5 6 7 8 11 12 13 20 22 23 27 35 40 47 }	{3 15 17 18 21 25 30 31 32 36 37 38 39 41 45 46 }	{4 }	{9 }	{10 }	{14 }	{19 }	{24 }	{26 }	{29 }	{33 }	{34 }	{42 }	{43 }	{44 48 }	
2,843,2368,3211,44.503,6666.000,439,49,7.31,16.47,4.06,439,0,0,0,0,{0 7 9 16 23 24 28 30 33 36 38 40 42 45 47 }	{1 4 5 6 8 11 12 13 18 25 31 32 34 41 43 46 }	{2 }	{3 21 27 }	{10 }	{14 }	{15 }	{17 20 }	{19 }	{22 }	{26 }	{29 }	{35 }	{37 }	{39 }	{44 }	{48 }	
3,862,2349,3211,41.377,6536.000,439,49,7.31,16.47,4.06,439,0,0,0,0,{0 2 13 16 20 25 28 31 32 33 34 37 43 44 45 46 }	{1 5 6 8 10 11 12 22 23 26 29 39 40 41 42 47 }	{3 4 21 27 }	{7 }	{9 }	{14 }	{15 36 }	{17 }	{18 }	{19 }	{24 }	{30 }	{35 }	{38 }	{48 }	
4,963,2248,3211,42.649,7613.000,439,49,7.31,16.47,4.06,439,0,0,0,0,{0 }	{1 5 6 12 15 17 19 23 26 29 33 35 36 40 43 47 }	{2 }	{3 }	{4 }	{7 8 10 11 16 27 28 30 31 32 37 38 39 44 45 46 }	{9 }	{13 }	{14 }	{18 }	{20 }	{21 }	{22 }	{24 }	{25 }	{34 }	{41 }	{42 }	{48 }	
5,940,2271,3211,42.428,7360.000,439,49,7.31,16.47,4.06,439,0,0,0,0,{0 2 }	{1 9 15 17 19 24 25 26 31 33 37 38 41 44 45 48 }	{3 4 5 6 8 11 12 13 20 27 34 39 40 43 46 47 }	{7 }	{10 }	{14 }	{16 }	{18 21 42 }	{22 }	{23 }	{28 }	{29 }	{30 }	{32 }	{35 }	{36 }	
6,727,2484,3211,41.921,7440.000,439,49,7.31,16.47,4.06,439,0,0,0,0,{0 16 28 35 36 42 44 48 }	{1 }	{2 }	{3 21 }	{4 8 10 11 12 18 23 24 25 26 31 32 34 39 40 47 }	{5 6 }	{7 }	{9 }	{13 }	{14 }	{15 19 }	{17 38 41 }	{20 }	{22 }	{27 }	{29 }	{30 }	{33 }	{37 }	{43 45 46 }	
7,958,2253,3211,44.470,6319.000,439,49,7.31,16.47,4.06,439,0,0,0,0,{0 40 }	{1 5 6 8 11 12 13 18 19 30 32 34 36 42 43 46 }	{2 }	{3 24 }	{4 }	{7 }	{9 14 15 16 17 20 21 22 23 25 28 35 37 38 41 44 }	{10 }	{26 }	{27 }	{29 }	{31 47 }	{33 }	{39 45 }	{48 }	
8,1082,2129,3211,42.717,6805.000,439,49,7.31,16.47,4.06,439,0,0,0,0,{0 2 }	{1 3 7 15 17 21 22 23 25 28 29 30 31 35 37 38 }	{4 5 6 8 11 12 13 18 24 27 32 34 39 40 41 48 }	{9 }	{10 }	{14 }	{16 }	{19 }	{20 }	{26 }	{33 }	{36 }	{42 47 }	{43 }	{44 }	{45 }	{46 }	
9,914,2297,3211,43.253,6324.000,439,49,7.31,16.47,4.06,439,0,0,0,0,{0 21 }	{1 7 14 15 17 23 28 29 31 35 37 38 39 40 41 47 }	{2 16 }	{3 }	{4 }	{5 6 }	{8 9 11 12 13 22 24 26 27 30 32 33 42 43 44 46 }	{10 }	{18 }	{19 }	{20 }	{25 }	{34 }	{36 }	{45 }	{48 }	
10,757,2454,3211,42.743,7430.000,439,49,7.31,16.47,4.06,439,0,0,0,0,{0 }	{1 }	{2 18 21 26 27 30 36 37 39 45 }	{3 4 5 6 8 11 12 17 22 23 24 25 29 32 35 38 }	{7 31 42 47 }	{9 }	{10 }	{13 34 48 }	{14 }	{15 }	{16 28 40 }	{19 43 }	{20 }	{33 }	{41 }	{44 }	{46 }	
