Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr arêtes,Nbr vertices ,Average weights,Variances of weights ,SD of weights, Nbr Edgess,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,770,8806,9576,57.334,8012.000,1285,96,7.45,16.28,4.04,1285,0,0,0,0,{0 4 82 }	{1 7 11 24 27 30 33 40 62 66 73 75 76 88 91 95 }	{2 }	{3 10 48 87 }	{5 }	{6 18 36 44 45 47 78 84 90 92 }	{8 20 }	{9 }	{12 }	{13 }	{14 }	{15 }	{16 }	{17 }	{19 52 }	{21 81 }	{22 46 58 93 94 }	{23 }	{25 }	{26 }	{28 }	{29 }	{31 }	{32 }	{34 }	{35 71 }	{37 }	{38 50 86 }	{39 }	{41 }	{42 }	{43 }	{49 }	{51 }	{53 }	{54 }	{55 }	{56 }	{57 69 }	{59 }	{60 64 }	{61 }	{63 }	{65 }	{67 }	{68 }	{70 }	{72 }	{74 }	{77 }	{79 }	{80 }	{83 }	{85 }	{89 }	
2,902,8674,9576,56.157,6726.000,1285,96,7.45,16.28,4.04,1285,0,0,0,0,{0 3 5 39 60 70 86 87 90 91 92 94 }	{1 }	{2 }	{4 15 67 }	{6 }	{7 28 29 40 43 }	{8 }	{9 }	{10 }	{11 59 71 83 }	{12 }	{13 24 25 31 32 35 42 52 53 63 65 66 76 77 78 85 }	{14 }	{16 }	{17 19 }	{18 84 }	{20 23 }	{21 }	{22 }	{26 }	{27 }	{30 }	{33 }	{34 }	{36 }	{37 }	{38 }	{41 }	{44 }	{45 }	{46 }	{47 }	{48 54 }	{49 }	{50 }	{51 }	{55 }	{56 }	{57 }	{58 }	{61 }	{62 }	{64 }	{68 }	{69 }	{72 }	{73 }	{74 }	{75 }	{79 }	{80 }	{81 }	{82 }	{88 }	{89 }	{93 }	{95 }	
3,932,8644,9576,52.944,7206.000,1285,96,7.45,16.28,4.04,1285,0,0,0,0,{0 2 13 26 28 52 60 61 65 72 84 85 86 87 91 94 }	{1 }	{3 63 }	{4 8 }	{5 }	{6 10 20 24 25 30 31 33 38 42 45 53 74 75 80 81 }	{7 }	{9 11 22 }	{12 19 }	{14 }	{15 }	{16 49 }	{17 }	{18 }	{21 }	{23 }	{27 }	{29 73 }	{32 }	{34 }	{35 }	{36 }	{37 }	{39 }	{40 }	{41 }	{43 }	{44 92 }	{46 }	{47 }	{48 }	{50 51 56 59 }	{54 }	{55 }	{57 93 }	{58 }	{62 }	{64 }	{66 }	{67 }	{68 }	{69 }	{70 }	{71 }	{76 }	{77 }	{78 }	{79 }	{82 }	{83 }	{88 }	{89 }	{90 }	{95 }	
4,714,8862,9576,45.435,6904.000,1285,96,7.45,16.28,4.04,1285,0,0,0,0,{0 1 8 9 }	{2 6 7 19 32 45 }	{3 55 }	{4 69 }	{5 }	{10 58 }	{11 }	{12 84 }	{13 49 60 64 }	{14 50 89 }	{15 26 37 38 39 40 48 52 54 59 63 74 76 81 83 91 }	{16 }	{17 95 }	{18 }	{20 }	{21 }	{22 87 88 }	{23 }	{24 72 }	{25 }	{27 }	{28 }	{29 }	{30 41 }	{31 }	{33 }	{34 }	{35 }	{36 }	{42 }	{43 }	{44 47 }	{46 }	{51 }	{53 }	{56 }	{57 }	{61 }	{62 }	{65 71 }	{66 70 92 }	{67 }	{68 }	{73 75 }	{77 }	{78 }	{79 }	{80 }	{82 }	{85 }	{86 }	{90 }	{93 }	{94 }	
5,1175,8401,9576,50.116,7351.000,1285,96,7.45,16.28,4.04,1285,0,0,0,0,{0 }	{1 }	{2 3 5 7 13 15 27 28 39 40 51 52 54 67 75 93 }	{4 }	{6 }	{8 }	{9 }	{10 }	{11 }	{12 18 19 22 23 30 35 79 89 90 }	{14 }	{16 }	{17 }	{20 }	{21 }	{24 }	{25 }	{26 }	{29 }	{31 }	{32 }	{33 }	{34 }	{36 38 41 43 44 55 72 74 77 80 81 82 83 91 92 94 }	{37 }	{42 }	{45 }	{46 }	{47 }	{48 61 }	{49 }	{50 }	{53 }	{56 68 }	{57 }	{58 }	{59 }	{60 }	{62 }	{63 }	{64 76 86 }	{65 }	{66 }	{69 }	{70 }	{71 }	{73 }	{78 }	{84 }	{85 }	{87 88 }	{95 }	
6,1022,8554,9576,48.196,6952.000,1285,96,7.45,16.28,4.04,1285,0,0,0,0,{0 }	{1 }	{2 }	{3 7 16 }	{4 10 }	{5 }	{6 8 13 19 20 28 32 39 41 42 52 59 65 71 78 83 }	{9 }	{11 }	{12 }	{14 }	{15 }	{17 }	{18 }	{21 }	{22 }	{23 34 }	{24 }	{25 }	{26 }	{27 63 }	{29 }	{30 }	{31 }	{33 36 43 44 67 72 77 79 84 88 89 90 91 92 93 94 }	{35 }	{37 }	{38 }	{40 }	{45 }	{46 }	{47 }	{48 }	{49 50 }	{51 }	{53 55 }	{54 }	{56 }	{57 }	{58 }	{60 }	{61 }	{62 }	{64 }	{66 }	{68 }	{69 }	{70 }	{73 }	{74 }	{75 }	{76 }	{80 }	{81 }	{82 }	{85 }	{86 }	{87 }	{95 }	
7,833,8743,9576,47.883,7199.000,1285,96,7.45,16.28,4.04,1285,0,0,0,0,{0 26 27 33 48 53 65 66 84 87 89 90 91 92 93 }	{1 }	{2 9 }	{3 6 7 13 15 16 19 20 23 32 40 41 45 55 67 77 }	{4 }	{5 }	{8 }	{10 }	{11 }	{12 }	{14 }	{17 }	{18 }	{21 }	{22 }	{24 }	{25 }	{28 }	{29 }	{30 }	{31 35 79 }	{34 }	{36 }	{37 }	{38 }	{39 }	{42 }	{43 }	{44 }	{46 47 }	{49 }	{50 }	{51 }	{52 }	{54 }	{56 }	{57 }	{58 }	{59 }	{60 63 64 }	{61 }	{62 }	{68 }	{69 }	{70 }	{71 }	{72 }	{73 }	{74 }	{75 }	{76 }	{78 }	{80 }	{81 }	{82 }	{83 }	{85 }	{86 }	{88 }	{94 }	{95 }	
8,779,8797,9576,46.287,7219.000,1285,96,7.45,16.28,4.04,1285,0,0,0,0,{0 5 7 10 29 51 55 84 }	{1 }	{2 8 }	{3 }	{4 }	{6 19 71 }	{9 }	{11 }	{12 }	{13 }	{14 15 30 37 41 50 53 54 56 66 86 89 90 91 92 93 }	{16 }	{17 }	{18 }	{20 }	{21 }	{22 }	{23 }	{24 }	{25 28 62 64 }	{26 }	{27 }	{31 }	{32 }	{33 }	{34 }	{35 }	{36 }	{38 49 }	{39 }	{40 }	{42 }	{43 }	{44 47 }	{45 }	{46 }	{48 }	{52 }	{57 }	{58 94 }	{59 }	{60 }	{61 85 }	{63 }	{65 }	{67 }	{68 }	{69 }	{70 }	{72 76 }	{73 75 }	{74 }	{77 }	{78 }	{79 }	{80 }	{81 }	{82 }	{83 }	{87 }	{88 }	{95 }	
9,1074,8502,9576,47.631,7638.000,1285,96,7.45,16.28,4.04,1285,0,0,0,0,{0 1 2 8 9 40 42 53 64 67 70 79 80 82 83 92 }	{3 }	{4 }	{5 6 15 16 17 27 28 29 72 81 }	{7 84 91 }	{10 18 21 25 30 31 32 34 43 52 54 55 56 57 75 76 }	{11 }	{12 }	{13 24 }	{14 }	{19 }	{20 86 }	{22 }	{23 }	{26 48 }	{33 }	{35 }	{36 }	{37 }	{38 }	{39 46 61 }	{41 }	{44 }	{45 }	{47 }	{49 58 }	{50 }	{51 }	{59 }	{60 }	{62 }	{63 }	{65 }	{66 }	{68 }	{69 }	{71 }	{73 85 }	{74 }	{77 }	{78 }	{87 }	{88 }	{89 }	{90 }	{93 }	{94 }	{95 }	
10,749,8827,9576,49.410,8064.000,1285,96,7.45,16.28,4.04,1285,0,0,0,0,{0 2 10 }	{1 49 85 }	{3 }	{4 15 28 38 39 40 41 43 52 53 64 66 67 70 71 76 }	{5 }	{6 }	{7 }	{8 }	{9 }	{11 }	{12 }	{13 }	{14 }	{16 }	{17 }	{18 }	{19 }	{20 }	{21 51 54 65 }	{22 }	{23 34 }	{24 }	{25 }	{26 }	{27 }	{29 }	{30 }	{31 79 83 }	{32 }	{33 }	{35 }	{36 72 }	{37 }	{42 }	{44 }	{45 }	{46 }	{47 }	{48 }	{50 59 63 86 87 91 95 }	{55 }	{56 }	{57 }	{58 }	{60 84 }	{61 }	{62 }	{68 }	{69 }	{73 }	{74 }	{75 }	{77 }	{78 }	{80 92 }	{81 }	{82 }	{88 }	{89 }	{90 94 }	{93 }	
