Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr arêtes,Nbr vertices ,Average weights,Variances of weights ,SD of weights, Nbr Edgess,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,71,33,104,39.147,2184.000,16,10,6.50,16.25,4.03,16,0,0,0,0,{0 2 5 6 9 }	{1 3 4 7 8 }	
2,71,33,104,37.738,1957.000,16,10,6.50,16.25,4.03,16,0,0,0,0,{0 2 5 6 9 }	{1 3 4 7 8 }	
3,71,33,104,37.656,1756.000,16,10,6.50,16.25,4.03,16,0,0,0,0,{0 2 5 6 9 }	{1 3 4 7 8 }	
4,69,35,104,34.063,1611.000,16,10,6.50,16.25,4.03,16,0,0,0,0,{0 2 6 9 }	{1 4 5 7 8 }	{3 }	
5,69,35,104,36.678,1801.000,16,10,6.50,16.25,4.03,16,0,0,0,0,{0 2 6 9 }	{1 4 5 7 8 }	{3 }	
6,61,43,104,38.870,2136.000,16,10,6.50,16.25,4.03,16,0,0,0,0,{0 2 5 7 }	{1 4 6 8 9 }	{3 }	
7,75,29,104,38.252,2802.000,16,10,6.50,16.25,4.03,16,0,0,0,0,{0 1 3 4 8 }	{2 5 6 7 9 }	
8,75,29,104,35.874,1762.000,16,10,6.50,16.25,4.03,16,0,0,0,0,{0 1 3 4 8 }	{2 5 6 7 9 }	
9,71,33,104,36.057,3756.000,16,10,6.50,16.25,4.03,16,0,0,0,0,{0 2 5 6 9 }	{1 3 4 7 8 }	
10,75,29,104,36.632,2464.000,16,10,6.50,16.25,4.03,16,0,0,0,0,{0 1 3 4 8 }	{2 5 6 7 9 }	
